Asset Name,Name,Serial number,Criticality,Status,Tenant,Role,Manufacturer,Type,BMC IP,BMC MAC,BMC Version,BIOS Version,Asset tag,ID,Tenant Group,Region,Site Group,Site,Location,Rack,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IP Address,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Owner Group,Owner,U Height,Platform,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,BIOS Date,EOL,FW Bundle,Installation Date,Last updated (automatic),OS Info,Product Name,UUID
AST-DFW1-00001,-,SU826600539,Medium,Planned,Cloud Platform,compute,Supermicro,SYS-221H-TNR CTRL Gen 3,-,ac:34:2f:c2:31:b7,6.8,None,TAG20328,1000,,AMER,,DFW1,DFW1-DC-3,R04,,,3,front,,,Front to rear,,172.29.112.115/24,,–,,,,,,,"Needs recable
see ticket NET-2231",,"baremetal,k8s",2024-08-21T09:28:35.000000+00:00,2024-10-05T09:28:35.000000+00:00,Platform,ops-team,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,,,2020-06-15,2025-02-18 09:28:35+00:00,None,SYS-221H-TNR,a0e6d8f7-3c8a-4ee6-a066-b8e6b9f7cb1b
AST-SIN1-00002,sin1-comp-0002,SU530747414,High,Active,Cloud Platform,compute,Supermicro,SYS-112C-TN COMP G2,10.37.161.55,38:4e:51:d8:20:c5,–,1.3.8,N/A,1001,,APAC,,SIN1,SIN1-DC-3,R11,,,33,,,,,,172.23.134.192/24,,10.150.234.37,,,,,"Ordered 2023, batch 9, rack row B",,,,"baremetal,k8s",2022-04-11T20:12:25.000000+00:00,2022-05-15T20:12:25.000000+00:00,DC-Ops,,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,,smc/2026.01,,2022-07-15 20:12:25+00:00,ESXi 8.0u2,None,5db3d77d-5710-4750-90e2-9cfd4663efa5
,phx3-stor-0003,HP384602384,High,Staged,Internal IT,storage,HPE,DL380 Gen10,-,75:22:10:a9:24:79,5.6,3.15.3,,1002,,AMER,,PHX3,PHX3-DC-4,R06,,,42,Front,,,Front to rear,,172.30.231.31/24,,10.139.204.172,,,,,"Replaced PSU, vendor RMA #4411",,,,"prod,edge",2024-06-27T10:12:32.000000+00:00,2025-05-04T10:12:32.000000+00:00,DC-Ops,a.kovac,2,ESXi 8.0,,,2,,4,,,,,,,,01/02/2026,2026-04-30,2025-09-21 10:12:32+00:00,–,DL380,b69223e1-01f1-4bb0-ba93-38ed5c384288
AST-SIN1-00004,sin1-cont-0004,DE276777762,,Active,Cloud Platform,control,Dell,R760XA GPU G2,10.59.135.238,50:1d:29:5f:23:22,–,–,TAG84085,1003,,APAC,,SIN1,None,N/A,,,30,Front,,,Front to rear,,172.31.79.49/24,,10.158.146.109,,,,,,,,,"prod,edge",2023-03-23T10:17:02.000000+00:00,2023-03-25T10:17:02.000000+00:00,,ops-team,1,Linux Ubuntu 22.04,,,2,,2,,,,,,,2029-01-30,N/A,2024-12-25,2023-06-10 10:17:02+00:00,ESXi 8.0u2,R760XA,a5e89ecc-b449-4e41-b786-3e4e98b4cad4
AST-LON2-00005,lon2-gpu-0005,DE223940587,Medium,Active,Internal IT,-,Dell,R650XS CONTROL G1,10.80.79.70,-,6.1,N/A,TAG57795,1004,,EMEA,,LON2,-,R09,,,23,front,,,Front to rear,,172.24.250.65/24,,10.126.175.53,,,,,"Ordered 2023, batch 4, rack row B",,,,lab,2020-11-28T13:10:50.000000+00:00,2021-12-14T13:10:50.000000+00:00,DC-Ops,a.kovac,2,,,,2,,6,,,,,,,2028-05-27,,2019-05-01,2022-04-13 13:10:50+00:00,None,R650XS,8444c93c-fe0e-4a45-a14d-2dfb2dd6cb72
AST-DFW1-00006,dfw1-comp-0006,DE930353157,Low,Active,Cloud Platform,compute,Dell,R660 COMP G2,10.92.204.174,61:82:16:df:00:64,2.10,3.3.4,TAG97410,1005,,AMER,,DFW1,None,R03,,,12,front,,,,,172.21.135.10/24,,N/A,,,,,,,"Needs recable
see ticket NET-2231",,"baremetal,k8s",2022-05-17T05:04:05.000000+00:00,2022-11-13T05:04:05.000000+00:00,DC-Ops,m.papaj,2,,,,2,,4,,,,,,,,N/A,2025-10-09,2023-05-20 05:04:05+00:00,RHEL 9.4,R660,80960520-dded-46eb-9be6-277c30438e7e
AST-PHX3-00007,phx3-stor-0007,DE258220114,,Active,Internal IT,storage,Dell,R660 COMP G2,10.41.243.157,ed:19:7f:3e:e9:44,7.16,3.10.7,TAG76162,1006,,AMER,,PHX3,PHX3-DC-2,R07,,,17,,,,,,172.22.196.127/24,,10.109.233.107,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"prod,edge",2020-03-16T21:17:20.000000+00:00,2020-04-09T21:17:20.000000+00:00,Platform,m.papaj,1,Linux Ubuntu 22.04,,,2,,2,,,,,,,,,,2020-06-07 21:17:20+00:00,Ubuntu 22.04.4,R660,9ed193f9-faa5-4d29-ad55-f20e6c3f26b7
AST-AMS1-00008,N/A,DE518197538,Medium,Active,,compute,Dell,R760XA GPU G2,N/A,None,N/A,1.14.5,None,1007,,EMEA,,AMS1,AMS1-DC-1,N/A,,,15,,,,Front to rear,,172.29.112.125/24,,10.138.199.219,,,,,"Ordered 2023, batch 1, rack row B",,,,,2024-12-19T16:07:03.000000+00:00,2025-12-11T16:07:03.000000+00:00,,a.kovac,1,ESXi 8.0,,,2,,4,,,,,,,2026-09-23,dell/15032026,2025-07-10,2026-03-15 16:07:03+00:00,RHEL 9.4,R760XA,790c4195-5775-4af8-a9aa-10f68aaa2272
AST-DFW1-00009,dfw1-cont-0009,LE525904456,Medium,Active,Cloud Platform,control,Lenovo,ThinkSystem SR650,10.85.124.27,eb:4e:de:5a:8a:f7,-,None,TAG84691,1008,,AMER,,DFW1,-,R13,,,17,,,,,,172.17.177.137/24,,10.138.61.204,,,,,,,"DIMM slot A3 flaky, monitor",,"prod,edge",2021-09-08T04:32:24.000000+00:00,2021-10-17T04:32:24.000000+00:00,DC-Ops,a.kovac,2,,,,2,,6,,,,,,,2027-01-03,bundle-2025Q3,2025-09-29,2021-10-21 04:32:24+00:00,None,ThinkSystem,ed6bedf4-99f5-403b-af46-50087f5694d0
AST-LON2-00010,lon2-cont-0010,DE455184454,Low,Active,Cloud Platform,control,Dell,XR11 EDGE,10.68.138.79,97:74:b8:5b:9a:07,,3.9.2,,1009,,EMEA,,LON2,LON2-DC-4,R18,,,17,front,,,Front to rear,,172.21.98.56/24,,–,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,,2022-12-29T00:53:38.000000+00:00,2023-12-24T00:53:38.000000+00:00,,j.smith,1,ESXi 8.0,,,2,,6,,,,,,,05/03/2027,,,2024-07-06 00:53:38+00:00,Ubuntu 22.04.4,XR11,a5b1920b-1009-4f6d-961c-060b4ebf0a6c
